"EIN","Organization Name","Address","City","State","Zip","Total Revenue - Current Year","Total Functional Expenses","Total Liabilities: End of Year","Total Assets: End of Year","Number of Employees Reported on Form W-3","Net Assets","National Taxonomy of Exempt Entities Short Description","Type of 990 Form Filed","Fiscal Year End","National Taxonomy of Exempt Entities Full Description","Point Source","Selected Location"
"22-3432769","Iglesia De Cristo Misionera Camden","1052 Lois Ave","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3433961","St John Church of the Apostolic Faith","220 N 27th St","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3456900","Amber Terrace Community Full Gospel Church","726 W Branch Ave","CLEMENTON","NJ","8021","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3458545","New Mercies Deliverance Church Inc","200 W Lincoln Ave","MAGNOLIA","NJ","8049","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3460482","Sai Foundation USA Inc","1132 Winding Dr","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Hindu","Candid","Camden (County, 2022)"
"22-3462864","Living Faith Bible Training Center Inc","2323 Route 73","PENNSAUKEN","NJ","8110","","","","","","","Employment, Job Related","Nonfilers","","Employment Procurement Assistance and Job Training","Candid","Camden (County, 2022)"
"22-3465143","Joy Community Fellowship of Haddon Heights Inc","201 S White Horse Pike","AUDUBON","NJ","8106","","","","","","","Community Improvement, Capacity Building","Nonfilers","","Men's Service Clubs","Candid","Camden (County, 2022)"
"22-3466971","Christ Apostolic Temple","201 New Jersey Ave","MOUNT EPHRAIM","NJ","8059","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3468373","Church On the Water","219 S Burnt Mill Rd","VOORHEES","NJ","8043","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3474357","Cooper Health Systems","1 Federal St Ste Nw2-400","CAMDEN","NJ","8103","","","","","","","Health","Nonfilers","","Single Organization Support","Candid","Camden (County, 2022)"
"22-3477408","New Jersey Evangelical Church","323 Nj-73","VOORHEES","NJ","8043","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3486722","Cooper Health Systems","1 Federal St Ste Nw2-400","CAMDEN","NJ","8103","","","","","","","Health","Nonfilers","","Single Organization Support","Candid","Camden (County, 2022)"
"22-3487144","Cooper Health Systems","1 Federal St Ste Nw2-400","CAMDEN","NJ","8103","","","","","","","Health","Nonfilers","","Single Organization Support","Candid","Camden (County, 2022)"
"22-3491837","Church of God of Prophecy","1035 N 27th St","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3494728","Lawnside Jaguars Midget Football Organization Inc","208 E Charleston Ave","LAWNSIDE","NJ","8045","","","","","","","Recreation, Sports, Leisure, Athletics","Nonfilers","","Football Clubs/Leagues","Candid","Camden (County, 2022)"
"22-3508173","Camden City Independent Living Center","1000 Atlantic Ave Ste 105","CAMDEN","NJ","8104","","","","","","","Human Services - Multipurpose and Other","Nonfilers","","Developmentally Disabled Services/Centers","Candid","Camden (County, 2022)"
"22-3509219","San Miguel School","836 S 4th St","CAMDEN","NJ","8103","","","","","","","Education","Nonfilers","","Elementary, Secondary Ed","Candid","Camden (County, 2022)"
"22-3520478","Refuge Temple Ministries","1109 Kaighn Ave","CAMDEN","NJ","8103","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3524737","Living Word Ministries Mt Zion Pentecostal Church of the Apostoli","PO Box 295","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3535209","Assembly of God His Church On the Rock","503 Kresson Rd","VOORHEES","NJ","8043","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3542849","Solid Rock Worship Cent","PO Box 1844","VOORHEES","NJ","8043","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3546458","New Jerusalem Temple of the Living God","916 Longwood Ave","CHERRY HILL","NJ","8002","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3564125","First Presbyterian Church of Gloucester City New Jersey","PO Box 547","GLOUCESTER CITY","NJ","8030","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3566504","Cadbury Continuing Care at Home Inc","2317 Church Rd","CHERRY HILL","NJ","8002","","","","","","","Health","Nonfilers","","Nursing Services General (includes Candy Stripers)","Candid","Camden (County, 2022)"
"22-3566919","Camdens Promise Charter School Inc","879 Beideman Ave","CAMDEN","NJ","8105","","","","","","","Education","Nonfilers","","Charter Schools","Candid","Camden (County, 2022)"
"22-3567911","Greater El Bethel Church of Christ Inc","219 Pine St","CAMDEN","NJ","8103","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3574145","First Presbyterian Church of New Jersey","20 Kings Hwy E","HADDONFIELD","NJ","8033","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3578357","Faith Covenant Ministries","24 Whalen Ave","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3580346","Children of Promise Church","Boulevard Plaza","CAMDEN","NJ","8109","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3585481","Church in Acts Inc","1801 E Burnt Mill Road","VOORHEES","NJ","8043","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3587486","Cooper Health Systems","1 Federal St Ste Nw2-400","CAMDEN","NJ","8103","","","","","","","Health","Nonfilers","","Single Organization Support","Candid","Camden (County, 2022)"
"22-3589430","Iglesia La Familia Inc","1706 Merchantville Ave","PENNSAUKEN","NJ","8110","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3592251","Life Assembly of God","7070 Route 38","PENNSAUKEN","NJ","8109","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3595913","Breath of Life Assembly of God Church","7538 River Rd","PENNSAUKEN","NJ","8110","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3603134","Workmen Devoted To Edifying the Body of Christ Evangelistic Church","PO Box 484","BERLIN","NJ","8009","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3616914","Walk in the Light Christian Center","1253 Liberty St","CAMDEN","NJ","8104","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3622336","Grow in Grace Ministries Inc","106 Marion Ave","MAGNOLIA","NJ","8049","","","","","","","Arts, Culture, and Humanities","Nonfilers","","Dance","Candid","Camden (County, 2022)"
"22-3630538","Bahais of Cherry Hill Township","125 Mona Ct","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"22-3632147","The Connect Church Inc","1110 S Cornell Ave","CHERRY HILL","NJ","8002","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3636166","Magnolia Korean Church","516 E Evesham Ave","MAGNOLIA","NJ","8049","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3636249","Tower of Faith Mission Inc","3048 Waldorf Ave","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3658229","Centerville Outreach Ministries Inc","514 Trenton Ave","CAMDEN","NJ","8103","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3660810","New Life Deliverance Church","505 Balsam Rd","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3661856","Iglesia Pentecostal Rois De Agua Viva Inc","434 Spruce St","CAMDEN","NJ","8103","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3667896","MT Olivet Seventh Day Adventist School","800 Chelton Ave","CAMDEN","NJ","8104","","","","","","","Education","Nonfilers","","Elementary, Secondary Ed","Candid","Camden (County, 2022)"
"22-3668606","Living for Christ Family Resurrection Ministries","109 Millstream Rd","PINE HILL","NJ","8021","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3673447","Samaki Dhararam Buddhist Temple of New Jersey Inc","3405 Federal St","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Buddhist","Candid","Camden (County, 2022)"
"22-3674085","Gospel Light Baptist Church","PO Box 284","PENNSAUKEN","NJ","8110","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3675463","Camden","2709 Lincoln Ave # 13","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3689784","Delaware Valley Torah Institute","31 Maple Ave","CHERRY HILL","NJ","8002","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Jewish","Candid","Camden (County, 2022)"
"22-3690945","Trinity Deliverance Tabernacle","PO Box 554","BERLIN","NJ","8009","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3690993","Pho Da Pagoda Vietnamese Buddhist Association","2505 Carman St","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Buddhist","Candid","Camden (County, 2022)"
"22-3691650","Jesus in the Midst Ministries","PO Box 92","WINSLOW","NJ","8095","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3696634","Holy City Presbyterian Church","395 Kings Hwy N","CHERRY HILL","NJ","8034","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3702116","Seed of Life Ministries","PO Box 1178","MERCHANTVILLE","NJ","8109","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3713985","New Life Refuge Church of Our Lord Jesus Christ of Apostolic Faith","406 Church Rd","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3716421","Saint Luke U A M E Church","8 Warwick Rd S","LAWNSIDE","NJ","8045","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3725520","Bridge of Peace Community Lutheran Church","2755 Tuckahoe Rd","CAMDEN","NJ","8104","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3736678","New Beginnings Ministries for Christ Inc","PO Box 224","SOMERDALE","NJ","8083","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3737929","Puerta Del Re Fugio","1430-1432 N Broadway","CAMDEN","NJ","8103","","","","","","","Housing, Shelter","Nonfilers","","Temporary Shelter For the Homeless","Candid","Camden (County, 2022)"
"22-3738940","Camden Academy Charter High School Inc","879 Beideman Ave","CAMDEN","NJ","8105","","","","","","","Education","Nonfilers","","Secondary/High School","Candid","Camden (County, 2022)"
"22-3739567","Calvary Chapel of Hammonton","660 S Egg Harbor Rd","HAMMONTON","NJ","8037","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3750454","New Life Ministries Inc","1721 Haddon Ave","CAMDEN","NJ","8103","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3759994","Catholic Charities Diocese of Camden Inc","1845 Haddon Ave","CAMDEN","NJ","8103","","","","","","","Human Services - Multipurpose and Other","Nonfilers","","Human Service Organizations","Candid","Camden (County, 2022)"
"22-3766998","First Church of God","753 Chestnut St","CAMDEN","NJ","8103","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3770274","Mater Ecclesiae Chapel Inc","261 Cross Keys Rd","BERLIN","NJ","8009","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3782098","In His Presence Ministries Inc","PO Box 1114","HADDONFIELD","NJ","8033","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3795478","Triple Threat Foundation for the Arts Inc","Apt 569 The Victor","CAMDEN","NJ","8102","","","","","","","Arts, Culture, and Humanities","Nonfilers","","Performing Arts","Candid","Camden (County, 2022)"
"22-3810011","Padre Pio Shrine Buena Borough NJ Inc","631 Market St","CAMDEN","NJ","8102","","","","","","","Education","Nonfilers","","Specialized Education Institutions/Schools for Visually or Hearing Impaired, Learning Disabled","Candid","Camden (County, 2022)"
"22-3811700","Lion of Judah Assemblies of God","9 Olden Ave","SOMERDALE","NJ","8083","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3817030","Fountain of Salvation Pentecostal Church Inc","604 Spruce St","CAMDEN","NJ","8103","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-3820873","Voice of Jubilee Church of the Living God","1505 Velde Ave","PENNSAUKEN","NJ","8110","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3824744","Ralph Calderon Ministries","4402 Sylvan Ter","PENNSAUKEN","NJ","8110","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-3826045","Saint Yi Yun IL John Cherry Hill Korean Catholic Mission Inc","2001 Springdale Rd","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Roman Catholic","Candid","Camden (County, 2022)"
"22-3857832","Albion Bible Church A New Jersey Non-Profit Corporation","250 Berlin Crosskeys Rd","ALBION","NJ","8009","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-6047252","Garden Lake Community Church","63 1st Ave","LINDENWOLD","NJ","8021","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-6048096","Kingsway Assembly of God","2701 Chapel Ave W","CHERRY HILL","NJ","8002","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-6065364","Delanco Camp Meeting Association","PO Box 665","SICKLERVILLE","NJ","8081","","","","","","","Recreation, Sports, Leisure, Athletics","Nonfilers","","Recreational and Sporting Camps (Day, Overnight, etc.)","Candid","Camden (County, 2022)"
"22-6066010","Unitarian Universalist Church in Cherry Hill","401 Kings Hwy N","CHERRY HILL","NJ","8034","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-6067167","Calvary Bible Protestant Church of Camden N J","23rd and High Street","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-6073811","Bethel Baptist Church","1704 Springdale Rd","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-6082223","MT Zion United Methodist Church","134 South White Horse Pike","LAWNSIDE","NJ","8045","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-6085409","Camden Bible Tabernacle Church","823 Elm St","CAMDEN","NJ","8102","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-6085875","Laurel Hill Bible Church","1260 Blackwood Clementon Rd","CLEMENTON","NJ","8021","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"22-6096890","Hope Memorial Baptist Church","915 N 36th St","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"22-6284771","Deliverance - Jesus Is Coming Association","135 Kings Hwy E Ste 2e","HADDONFIELD","NJ","8033","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"23-1365331","Friends of Israel Gospel Ministry Inc","PO Box 908","BELLMAWR","NJ","8099","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"23-1671531","Delaware Valley Baptist Association","7 Barclay Pavilion E","CHERRY HILL","NJ","8034","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"23-1940068","Faith Baptist Church","201 S White Horse Pike","AUDUBON","NJ","8106","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"23-2292939","Calvary Reformed United Ministries Inc","PO Box 4","ATCO","NJ","8004","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"23-2778554","Impacting Your World Ministries","2901 Chapel Ave W","CHERRY HILL","NJ","8002","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"23-2796027","MT Carmel Apostolic Church of the Lord Jesus Christ Inc","373 WAKEFIELD AVE","HAMPTON","VA","23661","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"23-2831114","Opus Mariae Mediatricis Inc","261 Cross Keys Rd","BERLIN","NJ","8009","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Roman Catholic","Candid","Camden (County, 2022)"
"23-3072284","Keys To Life Ministries Inc","74 E Kings Hwy","MOUNT EPHRAIM","NJ","8059","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"23-7071094","Mission Teens Inc","103 Chestnut St","AUDUBON","NJ","8106","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"23-7112340","Grace Baptist Church","25 Reeve Ave","HADDON TOWNSHIP","NJ","8108","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"23-7112651","Fellowship Baptist Church Inc","201 S White Horse Pike","AUDUBON","NJ","8106","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"23-7112653","First Baptist Church of Blackwood Inc","PO Box 254","BLACKWOOD","NJ","8012","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"23-7163383","Catholic Daughters of the Americas","339 Sylvan Ave","GLOUCESTER CITY","NJ","8030","","","","","","","Community Improvement, Capacity Building","Nonfilers","","Women's Service Clubs","Candid","Camden (County, 2022)"
"23-7170899","Catholic Daughters of America 544 McFaul Court","3266 Pleasant St","CAMDEN","NJ","8105","","","","","","","Community Improvement, Capacity Building","Nonfilers","","Women's Service Clubs","Candid","Camden (County, 2022)"
"23-7177526","Catholic Daughters of America 1895 CT St Luke","314 Harvard Ave","STRATFORD","NJ","8084","","","","","","","Community Improvement, Capacity Building","Nonfilers","","Women's Service Clubs","Candid","Camden (County, 2022)"
"23-7182362","Fervent Church of the Christian and Missionary Alliance Inc","904 Cooper Rd","VOORHEES","NJ","8043","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"23-7216584","Mount Zion Baptist Church and Zion Home for the Homeless Inc","Stevens Ave","W ATCO","NJ","8004","","","","","","","Housing, Shelter","Nonfilers","","Temporary Shelter For the Homeless","Candid","Camden (County, 2022)"
"23-7241546","Christian and Missionary Alliance of Clementon Heights NJ","28 E Branch Ave","PINE HILL","NJ","8021","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"23-7301391","Consummate Grace Church of God","PO Box 7","HADDONFIELD","NJ","8033","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"23-7310332","Camden Miracle Center Inc","PO Box 1348","MERCHANTVILLE","NJ","8109","","","","","","","Public Safety","Nonfilers","","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"23-7310712","New Testament Missionary Union","256 Oak St","AUDUBON","NJ","8106","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"23-7351372","Audubon Gospel Hall Association","313 E Atlantic Ave","AUDUBON","NJ","8106","","","","","","","Environmental Quality, Protection, and Beautification","Nonfilers","","Natural Resource Conservation and Protection","Candid","Camden (County, 2022)"
"23-7364194","Congregation Bnai Tikvah","PO Box 1013","BLACKWOOD","NJ","8012","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"23-7408601","Continental Societies Inc","PO Box 141","BLACKWOOD","NJ","8012","","","","","","","Community Improvement, Capacity Building","Nonfilers","","Community Service Clubs (Kiwanis, Lions, Jaycees, etc.)","Candid","Camden (County, 2022)"
"23-7410661","Northpointe Community Church","201 S White Horse Pike","AUDUBON","NJ","8106","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"26-0193273","Iglesia Cristiana Jesucristo Es El Rey Inc","601 Highland Blvd","GLOUCESTER CITY","NJ","8030","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"26-1235754","Rock of Ages Worship Ministries Inc","1000 Chestnut St","CAMDEN","NJ","8103","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"26-1724780","Family Lyfe A NJ Nonprofit Corporation","190 Warwick Rd Unit 113","STRATFORD","NJ","8084","","","","","","","Community Improvement, Capacity Building","Nonfilers","","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"26-1839711","Iglesia Internacional Reformista","2814 Arthur Ave","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"26-2915412","Temple of the Living Word Church","416 Sicklerville Rd Ste A2","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"26-3807313","International Sangha Bhiksu Buddhist Association Inc","317 Princeton Ave","STRATFORD","NJ","8084","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Buddhist","Candid","Camden (County, 2022)"
"26-3989648","Iglesia Pentecostal Rayos De Esperanza","2200 Kingsford Ln","ATCO","NJ","8004","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"26-4387105","Christian Deliverance Church Incorporated","926 Haddonfield Rd Ste 118","CHERRY HILL","NJ","8002","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"26-4460427","Casa Del Alfarero","PO Box 1186","MERCHANTVILLE","NJ","8109","","","","","","","Arts, Culture, and Humanities","Nonfilers","","Visual Arts Organizations","Candid","Camden (County, 2022)"
"26-4735382","LA Iglesia Jehova Shamma","30 Noble Rd","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-0537706","Fledging Birders Institute","PO Box 1774","BELLMAWR","NJ","8099","","","","","","","Environmental Quality, Protection, and Beautification","Nonfilers","","Environmental Education and Outdoor Survival Programs","Candid","Camden (County, 2022)"
"27-0609342","Tabernacle of Faith Christian Center Inc","45 Sassafras Dr","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-0631970","Catholic Community of Christ Our Light Cherry Hill NJ","402 NORTH KINGS HIGHWAY","CHERRY HILL","NJ","8034","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"27-0805531","The Well Assemblies of God","PO Box 128","OAKLYN","NJ","8107","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"27-0901565","Camden Dream Center","813 N 4th St","CAMDEN","NJ","8102","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"27-1242733","Mary Queen of All Saints Parish Pennsauken NJ","4824 Camden Ave","PENNSAUKEN","NJ","8110","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"27-1242853","Saint Simon Stock Parish Berlin NJ","178 W White Horse Pike","BERLIN","NJ","8009","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"27-1444803","Our Lady of Guadalupe Parish","55 Warwick Rd","STRATFORD","NJ","8084","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-1532287","Holy Eucharist Parish","344 Kresson Rd","CHERRY HILL","NJ","8034","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-1706218","Divine Lighthouse Missionary Evangelistic Church Inc","3053 Cleveland Ave","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"27-1854310","From the Heart Outreach Inc","11 Marshall Ave","BERLIN","NJ","8009","","","","","","","Diseases, Disorders, Medical Disciplines","Nonfilers","","Heart and Circulatory System","Candid","Camden (County, 2022)"
"27-2402657","A Champions Heart","6521 Mansion Blvd","PENNSAUKEN","NJ","8109","","","","","","","Youth Development","Nonfilers","","Other Youth Development N.E.C.","Candid","Camden (County, 2022)"
"27-2548902","Our Lady of Hope Parish","701 Little Gloucester Rd","BLACKWOOD","NJ","8012","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-2809622","Emmaus Catholic Community","11 N Black Horse Pike","MOUNT EPHRAIM","NJ","8059","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Roman Catholic","Candid","Camden (County, 2022)"
"27-3244467","Lord of the Breakthrough Ministries Inc","2108 The Woods","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-3510342","Parish of the Cathedral of the Immaculate Conception Camden NJ","642 Market St","CAMDEN","NJ","8102","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-3510553","St Josephine Bakhita Parish Camden NJ","751 Kaighn Ave","CAMDEN","NJ","8103","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"27-3510683","Holy Child Parish Runnemede NJ","13 E Evesham Rd","RUNNEMEDE","NJ","8078","","","","","","","Human Services - Multipurpose and Other","Nonfilers","","Children's and Youth Services","Candid","Camden (County, 2022)"
